,distance,perc,amenity
115,0.32030000000000003,0.04629097182288672,medical_clinic
116,0.32039999999999996,0.046617347652425284,medical_clinic
117,0.3207,0.0469204109227111,medical_clinic
118,0.3226,0.04738666210776619,medical_clinic
119,0.3237,0.04777520476197877,medical_clinic
120,0.326,0.04831916447787638,medical_clinic
121,0.3281,0.048793186516015725,medical_clinic
122,0.331,0.049166187464059805,medical_clinic
123,0.3326,0.049461479881261365,medical_clinic
124,0.3366,0.04978785571079993,medical_clinic
125,0.3373,0.05017639836501251,medical_clinic
126,0.3402,0.050440607369877065,medical_clinic
127,0.3414,0.050914629408016415,medical_clinic
128,0.3419,0.05125654694372348,medical_clinic
129,0.3423,0.0516062353325148,medical_clinic
130,0.3428,0.051792735806536844,medical_clinic
131,0.3454,0.052639758792720266,medical_clinic
