,sa12018_v1,lat,lon
45,7025687,-43.53259133108194,172.6291062546321
46,7025688,-43.5337885482232,172.62923621876334
47,7025689,-43.535259666753625,172.6308058830471
48,7025690,-43.53820478854527,172.63090697434177
49,7025691,-43.54054926579426,172.63226127728495
50,7025693,-43.54056889429792,172.62487212278282
51,7025542,-43.54327135515466,172.6154088343206
52,7025549,-43.54296510532904,172.61690559388182
53,7025854,-43.540497606693265,172.64161576452673
54,7025552,-43.5440209676993,172.6187073094661
55,7025550,-43.54363656920998,172.6197454797273
56,7025551,-43.54391132507465,172.6211913499568
57,7025692,-43.543918301108214,172.63109879944358
58,7025694,-43.5431628208906,172.6271253587279
59,7025695,-43.543482423328314,172.6236264524268
60,7025696,-43.543940306093084,172.62609368263853
61,7025543,-43.54351277400436,172.61381601270472
62,7025544,-43.54423412640131,172.6147974645055
63,7025546,-43.545170384718645,172.61546323955682
64,7025548,-43.5464998888775,172.6152542732522
65,7025554,-43.54598339001592,172.61809306517208
66,7025556,-43.546766897179175,172.61790837345518
67,7025560,-43.5487513069641,172.61529526783843
68,7025559,-43.54849256355766,172.61843254688608
69,7025553,-43.545118545775345,172.62006000148628
70,7025555,-43.54658505075555,172.6206728016634
71,7025698,-43.54513416218986,172.62355798518345
72,7025702,-43.546704197980745,172.62264217554684
73,7025705,-43.54845542825773,172.6230987258181
74,7026142,-43.530489741820055,172.66190584122498
75,7025561,-43.550068094217075,172.61382121034262
76,7025565,-43.55150874277014,172.61478825664773
77,7025558,-43.548489052959624,172.62068536172438
78,7025562,-43.550089092818844,172.61911426907417
79,7025668,-43.51732710933311,172.62725243471223
80,7025670,-43.51861347826836,172.6301706314099
81,7025672,-43.519923898109774,172.63130466433827
82,7025677,-43.51952469788081,172.6330401926376
83,7025679,-43.521702826000265,172.63208084028534
84,7025678,-43.519653616527386,172.63486125802805
85,7025836,-43.52187563232449,172.63514048217888
86,7025827,-43.51713628362463,172.63734697737743
87,7025830,-43.51773820236495,172.63615392249983
88,7025834,-43.519726177057706,172.63735224106608
89,7025838,-43.52277875232494,172.6403450624009
90,7025680,-43.522886275135455,172.63208345290852
91,7025681,-43.52370325446263,172.6341168302367
92,7025840,-43.52288569529476,172.63711931205148
93,7025842,-43.52354229354364,172.63829117237017
94,7025845,-43.52549156489796,172.63812495242578
95,7025851,-43.531871577733156,172.6370528871856
96,7025686,-43.53141563876861,172.63196569446518
97,7025853,-43.5377322833007,172.64538571959682
98,7025855,-43.544225195964884,172.64274245995725
99,7025856,-43.54436393704828,172.63628197143476
100,7025697,-43.544824121463066,172.62704892803723
101,7025699,-43.54574504564185,172.62723889522638
102,7025700,-43.54643469352551,172.6296514801769
103,7025701,-43.546617997693644,172.62790895144076
104,7025704,-43.54724627860597,172.6262454378441
105,7025716,-43.5490425286742,172.63351834627113
106,7025703,-43.54678431210371,172.6243547601684
107,7025715,-43.548260250743844,172.62820207476742
108,7025718,-43.550283459188705,172.6306753810618
109,7025706,-43.54916753407954,172.62456092513406
110,7025707,-43.549851032458875,172.62536602426215
111,7025708,-43.55050739252448,172.62651861459375
112,7025717,-43.54988920180576,172.62921313623565
113,7025857,-43.54809723084072,172.63844469262514
114,7025860,-43.54910980930068,172.63842417894725
115,7025816,-43.51706530055401,172.64642190269717
116,7025817,-43.517129786145986,172.64550770347185
117,7025819,-43.51933275761986,172.64702118121116
118,7025820,-43.51967164660157,172.64549458273908
119,7025984,-43.5173998244694,172.6475492759393
120,7025818,-43.5174166363155,172.64386185500564
121,7025822,-43.51996160279841,172.64383002934997
122,7025826,-43.51704688920831,172.64220727077216
123,7025832,-43.519716321136904,172.64185554629645
124,7025821,-43.5199646866352,172.64722709492182
125,7025835,-43.52146611391739,172.64414515246045
126,7025837,-43.52237327351043,172.64703356627967
127,7025987,-43.51876110704045,172.64875802344153
128,7025825,-43.515490204959995,172.64021168402783
129,7025828,-43.517140052507365,172.63885642520555
130,7025829,-43.5172247169579,172.6414645999209
131,7025831,-43.51882008299654,172.6404698507252
132,7025833,-43.51972075881258,172.63886085774564
